FID,Location,Type,Name_of_Co,Multinatio
2266, ,Arch,Arch,N
2267, ,Publish,P,N
2268, ,IT,IT,N
2269, ,FD,Cloth,N
2270, ,Art,Model,N
2271, ,Music,M,N
2272, ,Advertising,AD,N
2273, ,Arch,Arch,N
2274, ,Film,Video,N
2275, ,FD,Insegne Milano Carda 1972,N
2276, ,Craft,Craft,N
2277, ,Music,M,N
2278, ,FD,Cloth,N
2279, ,Art,Model,N
2280, ,Film,Video,N
2281, ,FD,Cloth,N
2282, ,FD,Cloth,N
2283, ,Advertising,AD,N
2284, ,FD,Cloth,N
2285, ,Arch,Arch,N
2286, ,Advertising,AD,N
2287, ,Art,Design,N
2288, ,IT,Mobile,N
2289, ,FD,Suitcases de Angeli,N
2290, ,IT,TIM,Y
2291, ,Art,Art,N
2292, ,Film,Video,N
2293, ,Art,Design,N
2294, ,Arch,Arch,N
2295, ,Advertising,AD,N
2296, ,Arch,Arch,N
2297, ,Publish,P,N
2298, ,FD,Cloth,N
2299, ,Publish,P,N
2300, ,Music,Music,N
2301, ,Arch,Arch,N
2302, ,Arch,Arch,N
2303, ,Music,Music,N
2304, ,Art,Design,N
2305, ,Art,Dance,N
2306, ,Advertising,AD,N
2307, ,Advertising,AD,N
2308, ,Art,Design,N
2309, ,Publish,P,N
2310, ,Film,Photo,N
2311, ,Music,Music,N
2312, ,Advertising,AD,N
2313, ,FD,Piazzaffari Shopping club,N
2314, ,Arch,Arch,N
2315, ,Advertising,AD,N
2316, ,IT,IT,N
2317, ,Art,Art,N
2318, ,IT,Mobile,N
2319, ,Craft,C,N
2320, ,Film,Radio,N
2321, ,Art,Art,N
2322, ,Art,Museum,N
2323, ,Film,News,N
2324, ,Advertising,AD,N
2325, ,FD,Longoni Sport Milano Arona,Y
2326, ,Craft,C,N
2327, ,IT,Software,N
2328, ,FD,Cloth,N
2329, ,FD,Cloth,N
2330, ,Advertising,AD,N
2331, ,IT,Game,N
2332, ,Film,Photo,N
2333, ,Art,Dance,N
2334, ,Music,M,N
2335, ,IT,IT,N
2336, ,IT,IT,N
2337, ,Arch,Arch,N
2338, ,Arch,A,N
2339, ,Publish,Il Sole 24 Ore,Y
2340, ,Film,Radio,N
2341, ,Art,Comedy,N
2342, ,Craft,Craft,N
2343, ,Publish,P,N
2344, ,Arch,Arch,N
2345, ,FD,Cloth,N
2346, ,FD,Cloth,N
2347, ,Publish,P,N
2348, ,Film,Video,N
2349, ,Music,Musci,N
2350, ,Art,Gallary,N
2351, ,Craft,C,"N
"
2352, ,Craft,C,N
2353, ,Art,Design,N
2354, ,Craft,C,N
2355, ,Arch,Arch,N
2356, ,Music,Music,N
2357, ,Art,Dance,N
2358, ,IT,IT,N
2359, ,Art,Exbihition,N
2360, ,Art,Exbihition,N
2361, ,Art,Exbihition,N
2362, ,Art,Exbihition,N
2363, ,Art,Exbihition,N
2364, ,Art,Exbihition,N
2365, ,Art,Activity,N
2366, ,FD,Camicissima,N
2367, ,FD,Kiko,Y
2368, ,IT,Vodafone,Y
2369, ,FD,Levi's,Y
2370, ,FD,Imperial Fashion,Y
2371, ,FD,VistaSì,Y
2372, ,FD,Geox,Y
2373, ,FD,ZARA,Y
2374, ,FD,Cloth,N
2375, ,FD,TALLY WEiJL,Y
2376, ,FD,ZARA,Y
2377, ,FD,North Sails Portello,Y
2378, ,FD,Bottega Verde,Y
2379, ,FD,Cloth,N
2380, ,FD,Yamamay,Y
2381, ,FD,Goldenpoint,Y
2382, ,IT,Camera,N
2383, ,FD,Cloth,N
2384, ,FD,MAX&Co.,Y
2385, ,FD,Douglas,Y
2386, ,FD,Oltre,Y
2387, ,FD,Accessorize,Y
2388, ,Craft,Swarovski,Y
2389, ,FD,Guess,Y
2390, ,FD,Cloth,N
2391, ,Craft,Kaidor Gioiellerie,Y
2392, ,FD,HM,Y
2393, ,Craft,Corner Dodo Coin City Life,Y
2394, ,FD,AnnaRita N,Y
2395, ,FD,OVS,Y
2396, ,FD,Beatrice B,Y
2397, ,FD,Coin Excelsior,Y
2398, ,FD,SABON,Y
2399, ,FD,Levi's? Store Milano City Life,Y
2400, ,FD,Moleskine Store,Y
2401, ,FD,Superdry,Y
2402, ,FD,MAX&Co.,Y
2403, ,FD,Ray-Ban Store,Y
2404, ,FD,Imperial,Y
2405, ,FD,Accessorize,Y
2406, ,Art,Cinema,N
2407, ,FD,Nashi Salon CityLife,Y
2408, ,IT,Dyson Demo Store,Y
2409, ,FD,Habitat,Y
2410, ,FD,Democracy Design,Y
2411, ,IT,Huawei,Y
2412, ,Arch,Disign,N
2413, ,FD,Tognana,Y
2414, ,IT,DJI,Y
2415, ,FD,Guess,Y
2416, ,FD,Cloth,N
2417, ,IT,Game,N
2418, ,FD,Omai | C/C Citylife,Y
2419, ,FD,Desiree,Y
2420, ,FD,Nespresso,Y
2421, ,FD,dm Italia,Y
2422, ,Craft,Must,Y
2423, ,FD,Beatrice B,Y
2424, ,FD,Valerio 1966,Y
2425, ,FD,JackJones,Y
2426, ,FD,Tonali,Y
2427, ,FD,Foot Locker,Y
2428, ,IT,Apple,Y
2429, ,FD,Gioielleria Stroili,Y
2430, ,FD,CALVIN KLEIN JEANS,Y
2431, ,Craft,Pandora,Y
2432, ,FD,Jaked,Y
2433, ,FD,Timberland,Y
2434, ,FD,Snipes,Y
2435, ,FD,Adele Altaman,Y
2436, ,IT,IT,N
2437, ,Art,Model,N
2438, ,IT,IT,N
2439, ,Advertising,AD,N
2440, ,Art,Theator,N
2441, ,Art,Model,N
2442, ,IT,IT,N
2443, ,Craft,Craft,N
2444, ,FD,Le SAC outlet,Y
2445, ,FD,Cloth,N
2446, ,Music,Music,N
2447, ,IT,IT,N
2448, ,Film,Photo,N
2449, ,Craft,Craft,N
2450, ,FD,Rucker Park Basketball Store,Y
2451, ,Craft,Craft,N
2452, ,Art,Cinema,N
2453, ,IT,IT,N
2454, ,Advertising,AD,N
2455, ,Publish,"P
P",N
2456, ,Publish,P,N
2457, ,Craft,C,N
2458, ,Art,Gallary,N
2459, ,Advertising,AD,N
2460, ,Arch,Arch,N
2461, ,Film,Video,N
2462, ,Arch,Arch,N
2463, ,Arch,Arch,N
2464, ,Music,Music,N
2465, ,Art,Dance,N
2466, ,Advertising,AD,N
2467, ,Arch,Arch,N
2468, ,Art,Design,N
2469, ,Music,Music,N
2470, ,Film,Cinema,N
2471, ,Publish,P,N
2472, ,Craft,C,N
2473, ,Film,Photo,N
2474, ,FD,Selfservice,N
2475, ,Craft,C,N
2476, ,Music,Music,N
2477, ,Film,Video,N
2478, ,Art,Model,Y
2479, ,Publish,P,N
2480, ,Filim,Video,N
2481, ,FD,Ctaft,N
2482, ,Art,Model,Y
2483, ,Advertising,AD,N
2484, ,Film,TV,N
2485, ,FD,Cloth,N
2486, ,FD,Cloth,N
2487, ,Film,VIdeo,N
2488, ,Film,Photo,N
2489, ,Film,Photo,N
2490, ,Craft,Toy,N
2491, ,FD,Ipersoap,Y
2492, ,FD,Occhiali Pelo dal 1930,N
2493, ,Advertising,AD,N
2494, ,FD,Cloth,N
2495, ,Craft,Jewel,N
2496, ,FD,DOPPELG?NGER,Y
2497, ,FD,Daniel & Mayer,Y
2498, ,FD,JOHNSON FITNESS STORE,Y
2499, ,IT,Game,N
2500, ,Art,Design,N
2501, ,IT,Game,N
2502, ,FD,Nove25 Milano,Y
2503, ,Art,Design,N
2504, ,FD,Walter Calzature,Y
2505, ,Craft,io e Meg,N
2506, ,Art,Model,N
2507, ,FD,Max Mara,Y
2508, ,Art,Gallary,N
2509, ,IT,WIND,Y
2510, ,FD,Gant Store Milano,Y
2511, ,Craft,DEXTER Milano,Y
2512, ,FD,Conbipel Spa,Y
2513, ,FD,Yamamay,Y
2514, ,IT,Vodafone,Y
2515, ,Arch,Arch,N
2516, ,FD,Christies,N
2517, ,FD,SEPHORA MILANO,Y
2518, ,FD,Matias fashion Outlet,Y
2519, ,IT,Trony,Y
2520, ,Publish,Publish,N
2521, ,FD,Levi’s,Y
2522, ,Craft,THUN Shop Milano Wagner,Y
2523, ,Art,Gallary,N
2524, ,FD,Oud Milano,Y
2525, ,FD,Cardinale scarpe,N
2526, ,FD,Belfiore Footwear Artisan since 1953,Y
2527, ,FD,Subdued,Y
2528, ,FD,Libero,Y
2529, ,Craft,Jewel,N
2530, ,Craft,Idea Oro,N
2531, ,Arch,Arch,N
2532, ,Film,Photo,N
2533, ,Art,Gallary,N
2534, ,Advertising,AD,N
2535, ,Music,Music,N
2536, ,Craft,Giocheria Centro Toys,N
2537, ,Publish,P,N
2538, ,FD,Nonostante Marras,N
2539, ,Advertising,AD,N
2540, ,Art,Design,N
2541, ,Art,Perfome,N
2542, ,Art,Design,N
2543, ,IT,IT,N
2544, ,FD,Fendi Showroom,Y
2545, ,Art,Museum,N
2546, ,Art,Design,N
2547, ,FD,Empatica,N
2548, ,Art,Gallary,N
2549, ,Art,Model,N
2550, ,FD,Cloth,N
2551, ,FD,Moooi Presentation,Y
2552, ,FD,Sportswear Company,Y
2553, ,Arch,Arch,N
2554, ,FD,Perfumery Nardino Marinella,Y
2555, ,Advertising,AD,N
2556, ,Arch,Arch,N
2557, ,FD,WOVO,Y
2558, ,FD,Cloth,N
2559, ,IT,Software,N
2560, ,IT,Museum,N
2561, ,Art,Mudec,N
2562, ,FD,Design,N
2563, ,FD,Cloth,N
2564, ,Art,sgamo showroom,N
2565, ,Art,Design,N
2566, ,FD,Cloth,N
2567, ,Art,Gallary,N
2568, ,Art,Museum,N
2569, ,Art,Design,N
2570, ,IT,Mobile,N
2571, ,Art,Dance,N
2572, ,FD,Panpepato,N
2573, ,Craft,The Time Lords,Y
2574, ,Music,Music,N
2575, ,FD,Cloth,N
2576, ,IT,Software,N
2577, ,FD,Cloth,N
2578, ,Craft,Finest Lady,N
2579, ,FD,Camiceria GENTILI,N
2580, ,IT,IT,N
2581, ,IT,Vodafone,Y
2582, ,Art,Cinema,N
2583, ,FD,Dama S.r.l.,Y
2584, ,FD,Ferretti 1922,Y
2585, ,Film,Photo,N
2586, ,IT,IT,"n
N"
2587, ,Arch,Arch,N
2588, ,Film,VIdeo,N
2589, ,Art,Art,N
2590, ,Advertising,AD,N
2591, ,Arch,Arch,N
2592, ,FD,IKEAtemporary,Y
2593, ,IT,IT,N
2594, ,Art,Art,N
2595, ,Advertising,AD,N
2596, ,Art,Design,N
2597, ,Music,The Discomane Snc,N
2598, ,FD,Cloth,N
2599, ,Art,Gallary,N
2600, ,FD,SUN68 - MILAN NAVIGLI,Y
2601, ,FD,Cloth,N
2602, ,Craft,Craft,N
2603, ,Arch,Arch,N
2604, ,Art,Model,N
2605, ,Art,Model,N
2606, ,FD,Design,N
2607, ,Film,Photo,N
2608, ,Art,Theator,N
2609, ,IT,IT,N
2610, ,Art,Model,N
2611, ,Art,Design,N
2612, ,FD,Cloth,N
2613, ,FD,DMAG outlet,Y
2614, ,Art,Design,N
2615, ,Film,Photo,N
2616, ,Film,Photo,N
2617, ,Art,Gallary,N
2618, ,FD,SPACE SIMONA CORSELLINI,N
2619, ,Art,Model,N
2620, ,Art,Design,N
2621, ,Film,Video,N
2622, ,Art,Design,N
2623, ,Art,Model,N
2624, ,Art,Design,N
2625, ,Arch,Arch,N
2626, ,Art,Gallary,N
2627, ,Arch,Arch,N
2628, ,FD,Cloth,N
2629, ,Craft,Jewel,N
2630, ,Advertising,AD,N
2631, ,Art,Design,N
2632, ,Art,Design,N
2633, ,Art,Gallary,N
2634, ,FD,Cloth,N
2635, ,Advertising,AD,N
2636, ,Music,Music,N
2637, ,Art,Design,N
2638, ,Art,Gallary,N
2639, ,Art,Dance,N
2640, ,IT,IT,N
2641, ,Music,Music,N
2642, ,IT,IT,N
2643, ,Film,Video,N
2644, ,IT,IT,N
2645, ,Film,Video,N
2646, ,FD,Douglas,Y
2647, ,IT,TIM,Y
2648, ,Art,Model,N
2649, ,IT,IT,N
2650, ,Film,Video,N
2651, ,Film,VIdeo,N
2652, ,IT,WIND,Y
2653, ,Advertising,AD,N
2654, ,Art,Dance,N
2655, ,Film,VIdeo,N
2656, ,Art,Design,N
2657, ,IT,IT,N
2658, ,IT,IT,N
2659, ,Craft,C,N
2660, ,IT,IT,N
2661, ,Film,Radio,N
2662, ,IT,Software,N
2663, ,Publish,Publish,N
2664, ,IT,IT,N
2665, ,IT,IT,N
2666, ,Arch,Arch,N
2667, ,Art,Museum,N
2668, ,Art,Design,N
2669, ,IT,WIND,Y
2670, ,Art,Museum/expo,Y
2671, ,IT,IT,N
2672, ,Advertising,AD,N
2673, ,IT,IT,N
2674, ,Publish,P,N
2675, ,Film,Photo,N
2676, ,IT,Software,N
2677, ,Film,Cinema,N
2678, ,FD,Centro Porsche Milano Nord,Y
2679, ,Art,Game,N
2680, ,Music,Music,N
2681, ,Art,Art,N
2682, ,Art,Gallary,N
2683, ,Craft,IperSoap,Y
2684, ,Arch,Arch,N
2685, ,IT,IT,N
2686, ,Arch,Arch,N
2687, ,Art,Theator,N
2688, ,Arch,Arch,N
2689, ,IT,IT,N
2690, ,IT,Software,N
2691, ,FD,PittaRosso,Y
2692, ,IT,IT,N
2693, ,Art,Theator,N
2694, ,Music,Theator,N
2695, ,IT,Software,N
2696, ,IT,Vodafone,Y
2697, ,IT,WIND,Y
2698, ,FD,Scarpe&Scarpe,Y
2699, ,FD,Foot Locker,Y
2700, ,FD,NAU,Y
2701, ,FD,KASANOVA,Y
2702, ,Film,Movie,N
2703, ,FD,Boschini,N
2704, ,FD,Joyè,Y
2705, ,FD,OVS,Y
2706, ,FD,Gioielli Di Valenza,N
2707, ,IT,WIND,Y
2708, ,Craft,Stroili,Y
2709, ,Film,Photo/Presto Service,Y
2710, ,IT,TIM,Y
2711, ,Art,Design,N
2712, ,FD,Fiorella Rubino,Y
2713, ,FD,HM,Y
2714, ,Arch,Arch,N
2715, ,Art,Dance,N
2716, ,Art,Museum,N
2717, ,Art,Dance,N
2718, ,Art,Theator,N
2719, ,IT,IT,N
2720, ,FD,Cloth,N
2721, ,Film,VIdeo,N
2722, ,IT,IT,N
2723, ,Film,Photo,N
2724, ,Art,Dance,N
2725, ,Art,Design,N
2726, ,Music,Music,N
2727, ,FD,Cloth,N
2728, ,Art,Dance,N
2729, ,Art,Theator,N
2730, ,Art,Gallary,N
2731, ,Art,Theator,N
2732, ,Art,Theator,N
2733, ,IT,WIND,Y
2734, ,Music,Music,N
2735, ,Music,Music,N
2736, ,Art,Dance,N
2737, ,Advertising,AD,N
2738, ,Art,Theator,N
2739, ,Publish,Publish,N
2740, ,Art,Dance,N
2741, ,Arch,Arch,N
2742, ,Arch,Arch,N
2743, ,Film,Video,N
2744, ,FD,Fiorella Rubino,Y
2745, ,IT,WIND,Y
2746, ,FD,Black Station,N
2747, ,Film,Video,N
2748, ,IT,IT,N
2749, ,Film,Photo,N
2750, ,FD,Cloth,N
2751, ,Art,Design,N
2752, ,Arch,Arch,N
2753, ,FD,Olly Market,N
2754, ,IT,TIM,Y
2755, ,FD,PRIMIGI IGI&CO Store,Y
2756, ,Music,Music,N
2757, ,IT,Software,N
2758, ,Art,Design,N
2759, ,Advertising,AD,N
2760, ,IT,IT,N
2761, ,Art,Dance,N
2762, ,FD,Mirror,Y
2763, ,FD,Promenade,Y
2764, ,FD,Desiré,Y
2765, ,FD,Stella Z,N
2766, ,FD,Conbipel,Y
2767, ,FD,Swarovski,Y
2768, ,FD,Yamamay,Y
2769, ,FD,Distinto Del Zoppo,Y
2770, ,FD,Eurobijoux,Y
2771, ,FD,Marionnaud,Y
2772, ,FD,Conte of Florence,Y
2773, ,IT,Game,N
2774, ,FD,Histoire D'Or,Y
2775, ,FD,United Colors of Benetton,Y
2776, ,FD,Un Jour Ailleurs,N
2777, ,FD,Foot Locker,Y
2778, ,FD,Promod,Y
2779, ,FD,Bialetti,Y
2780, ,FD,Goldenpoint,Y
2781, ,FD,Kasanova,Y
2782, ,FD,Pimkie,Y
2783, ,Craft,Bijou Brigitte,Y
2784, ,IT,WIND,Y
2785, ,FD,Bershka,Y
2786, ,FD,celio,Y
2787, ,FD,Yves Rocher,Y
2788, ,IT,Vodafone,Y
2789, ,IT,3 Store,N
2790, ,Music,Metropolis Dischi,Y
2791, ,IT,Game,N
2792, ,Music,Music,N
2793, ,IT,Software,N
2794, ,Craft,Rota Aldo S.a.s,Y
2795, ,Arch,Arch,N
2796, ,Music,Musical Instruments Palma,Y
2797, ,Craft,Craft,N
2798, ,Publish,P,N
2799, ,FD,Cosplay,N
2800, ,Art,Theator,N
2801, ,Art,Design,N
2802, ,Art,Design,N
2803, ,IT,Samsung Smart Home,Y
2804, ,Art,Museum,N
2805, ,FD,WOMO,Y
2806, ,FD,Le Spose di Milano,Y
2807, ,Art,Gallary,N
2808, ,IT,Software,N
2809, ,IT,IT,N
2810, ,Arch,Arch,N
2811, ,IT,Amazon Italy,Y
2812, ,Art,Gallary,N
2813, ,FD,Shoes... No-Box,Y
2814, ,Publish,P,N
2815, ,IT,Microsoft,Y
2816, ,IT,Vodafone,Y
2817, ,FD,Caddy's,Y
2818, ,Publish,P,N
2819, ,Art,Design,N
2820, ,Art,Gallary,N
2821, ,Art,Theator,N
2822, ,Advertising,AD,N
2823, ,Music,Music,N
2824, ,Art,Dance,N
2825, ,Advertising,AD,N
2826, ,Art,Dance,N
2827, ,Film,Photo,N
2828, ,Film,Photo,N
2829, ,IT,IT,N
2830, ,IT,Game,N
2831, ,IT,Game,N
2832, ,Art,Theator,N
2833, ,IT,Software,N
2834, ,Publish,P,N
2835, ,Art,Dance,N
2836, ,Arch,Arch,N
2837, ,IT,IT,N
2838, ,IT,IT,N
2839, ,FD,Toysuper Toys Milan,Y
2840, ,Arch,Arch,N
2841, ,Publish,P,N
2842, ,Art,Design,N
2843, ,IT,IT,N
2844, ,Art,Design,N
2845, ,IT,Software,N
2846, ,Film,Photo,N
2847, ,IT,IT,N
2848, ,Arch,Arch,N
2849, ,Art,Theator,N
2850, ,IT,IT,N
2851, ,IT,Software,N
2852, ,Film,Photo,N
2853, ,Arch,Arch,N
2854, ,Film,Photo,N
2855, ,IT,Software,N
2856, ,IT,Software,N
2857, ,Music,Music,N
2858, ,Art,Gallary,N
2859, ,FD,Cargo,Y
2860, ,Art,Dance,N
2861, ,IT,IT,N
2862, ,Music,M,N
2863, ,FD,Cosplay,N
2864, ,Arch,Arch,N
2865, ,IT,IT,N
2866, ,IT,IT,"N
"
2867, ,Arch,Arch,N
2868, ,Art,Dance,N
2869, ,Art,Theator,N
2870, ,Art,Deisgn,N
2871, ,Music,Music,N
2872, ,Art,Design,N
2873, ,Film,TV,N
2874, ,Advertising,AD,N
2875, ,Film,Photo,N
2876, ,Arch,Arch,N
2877, ,Advertising,AD,N
2878, ,Arch,Arch,N
2879, ,Film,Photo,N
2880, ,IT,IT,N
2881, ,Film,Radio,N
2882, ,IT,Software,N
2883, ,Art,Theator,N
2884, ,Arch,Arch,N
2885, ,IT,Game,N
2886, ,Art,Gallary,N
2887, ,FD,Cloth,N
2888, ,Craft,Craft,N
2889, ,Publish,P,N
2890, ,IT,TIM,Y
2891, ,IT,WIND,Y
2892, ,IT,Game,N
2893, ,Craft,C,N
2894, ,Film,Video,N
2895, ,FIlm,Photo,N
2896, ,Film,News,N
2897, ,IT,WEB,N
2898, ,Art,Theator,N
2899, ,FD,Cloth,N
2900, ,Art,Theator,N
2901, ,Craft,C,N
2902, ,Art,Design,N
2903, ,IT,IT,N
2904, ,FD,Cloth,N
2905, ,Music,Music,N
2906, ,Art,Design,N
2907, ,Art,Dance,N
2908, ,Film,Photo,N
2909, ,Publish,P,N
2910, ,Art,Design,N
2911, ,IT,IT,"N
N"
2912, ,Advertising,AD,N
2913, ,IT,IT,N
2914, ,Music,Music,N
2915, ,Art,Gallary,N
2916, ,Music,Music,N
2917, ,Film,Radio,N
2918, ,Film,Video,N
2919, ,IT,IT,N
2920, ,Music,Music,N
2921, ,IT,TIM,Y
2922, ,Craft,C,N
2923, ,Advertising,AD,N
2924, ,FD,Cloth,N
2925, ,Craft,Craft,N
2926, ,FD,Lillapois,Y
2927, ,Art,Design,N
2928, ,IT,IT,N
2929, ,IT,IT,"N
"
2930, ,Art,Dance,N
2931, ,IT,IT,N
2932, ,IT,IT,N
2933, ,IT,IT,N
2934, ,Advertising,AD,N
2935, ,Art,Model,N
2936, ,Arch,Arch,N
2937, ,Art,Museum,N
2938, ,Advertising,AD,N
2939, ,Art,Design,N
2940, ,Advertising,AD,N
2941, ,"FD
FD",Boggi Factory Outlet Store,Y
2942, ,Art,Gallary,N
2943, ,FD,Cloth,N
2944, ,IT,Software,N
2945, ,IT,IT,N
2946, ,Art,Gallary,N
2947, ,IT,IT,N
2948, ,Advertising,AD,N
2949, ,Music,Music,N
2950, ,Music,Sony Music,Y
2951, ,Music,Music,N
2952, ,Art,Gallary,N
2953, ,IT,IT,N
2954, ,Art,Dance,N
2955, ,IT,Software,N
2956, ,Art,Art,N
2957, ,Arch,Arch,N
2958, ,Advertising,AD,N
2959, ,Arch,Arch,N
2960, ,Arch,"Arch
Arch",N
2961, ,Arch,Arch,N
2962, ,Music,Music,N
2963, ,Music,Music,N
2964, ,IT,WIND,Y
2965, ,Music,Music,N
2966, ,IT,WIND,N
2967, ,FD,IperSoap,Y
2968, ,Music,Music,N
2969, ,Art,Dance,N
2970, ,FD,Spazio Zero,N
2971, ,Music,Music,N
2972, ,Music,Music,N
2973, ,Film,Radio,N
2974, ,Film,Radio,N
2975, ,Publish,Publish,N
2976, ,Art,Gallary,N
2977, ,Craft,Craft,N
2978, ,Music,Music,N
2979, ,Arch,Arch,N
2980, ,Publish,Publish,N
2981, ,Art,Gallary,N
2982, ,Art,Design,N
2983, ,Publish,Publish,N
2984, ,IT,Software,N
2985, ,FD,Wrangler VF ITALY,Y
2986, ,Music,Music,N
2987, ,Music,Music,N
2988, ,Arch,Arch,N
2989, ,Art,Dance,N
2990, ,Publish,P,N
2991, ,FIlm,Photo,N
2992, ,Art,Design,N
2993, ,Art,Theator,N
2994, ,Art,Design,N
2995, ,Advertising,AD,N
2996, ,Art,Theator,N
2997, ,Art,Gallary,N
2998, ,FD,Abiti da Cerimonia,N
2999, ,Arch,Arch,N
3000, ,Art,Gallary,N
3001, ,IT,Software,N
3002, ,IT,Software,N
3003, ,IT,Game,N
3004, ,FD,Mac,Y
3005, ,FD,Le Ore D'oro,Y
3006, ,IT,WIND,Y
3007, ,FD,Cloth,N
3008, ,FD,Libero,Y
3009, ,Arch,Arch,N
3010, ,Art,Dance,N
3011, ,FD,Kammi Footwear Valassina,Y
3012, ,Film,Photo,N
3013, ,Art,Dance,N
3014, ,Advertising,AD,N
3015, ,Film,Radio,N
3016, ,Music,Music,N
3017, ,Music,Music,N
3018, ,FD,Le SAC outlet,Y
3019, ,Art,Dance,N
3020, ,Art,Design,N
3021, ,Art,La Scighera,N
3022, ,Publish,P,N
3023, ,IT,IT,N
3024, ,IT,IT,N
3025, ,Arch,Arch,N
3026, ,Film,Photo,N
3027, ,Art,Design,N
3028, ,IT,IT,N
3029, ,Music,Music,N
3030, ,Music,Music,N
3031, ,IT,Game,N
3032, ,Art,Design,N
3033, ,Art,Design,N
3034, ,Advertising,AD,N
3035, ,IT,IT,N
3036, ,IT,IT,N
3037, ,Arch,Arch,N
3038, ,Art,Dance,N
3039, ,Arch,Arch,N
3040, ,Music,Music,N
3041, ,FIlm,Video,N
3042, ,FD,Le SAC outlet,Y
3043, ,FD,Store Mix Dergano,Y
3044, ,Arch,Arch,N
3045, ,Arch,Arch,N
3046, ,Arch,Arch,N
3047, ,Arch,Arch,N
3048, ,Arch,Arch,N
3049, ,IT,TIM,Y
3050, ,Art,Dance,N
3051, ,FIlm,Video,N
3052, ,Advertising,AD,N
3053, ,Arch,Design,N
3054, ,Film,Photo,N
3055, ,Film,Video,N
3056, ,Arch,Arch,N
3057, ,Art,Museum,N
3058, ,Film,Video,N
3059, ,Art,Museum,N
3060, ,Art,Gallary,N
3061, ,Art,Gallary,N
3062, ,Film,Video,N
3063, ,Publish,P,N
3064, ,FD,LABO.ART,N
3065, ,Art,Design,N
3066, ,IT,IT,N
3067, ,Film,Video,N
3068, ,FD,Natsuko Toyofuku,Y
3069, ,FD,adidas Originals Store,Y
3070, ,Art,Dance,N
3071, ,FD,Momonì,N
3072, ,FD,Pinko Boutique Milano,Y
3073, ,FD,Sandro-Paris,Y
3074, ,FD,G-SHOCK Corso Como,Y
3075, ,FD,Natsuko Toyofuku,Y
3076, ,Craft,C,N
3077, ,FD,Gabs Flagship Store,Y
3078, ,FD,Eral 55,Y
3079, ,Arch,Arch. Andrea Galeazzi,Y
3080, ,Arch,Arch,N
3081, ,Art,Museum,N
3082, ,FD,Y-3 Milan,Y
3083, ,FD,Dsquared2 Concept Store,Y
3084, ,FD,Just Cavalli,Y
3085, ,Craft,C,N
3086, ,FD,GCDS,Y
3087, ,FD,Chiara Ferragni Store,Y
3088, ,FD,Christian Louboutin,Y
3089, ,Art,Gallary,N
3090, ,FD,Hydrogen Icon Store,N
3091, ,Craft,Campomaggi Flagship Store,N
3092, ,Arch,Arch,N
3093, ,IT,IBM Studios,Y
