unit,geo\time	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 
GDP_BEUR,BE251	2.291 p	3.035 	2.68 	2.401 	3.148 	1.559 	2.958 	2.274 	3.897 	2.707 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE252	2.061 p	5.164 	4.964 	1.691 	4.866 	3.425 	5.455 	1.194 	2.186 	3.804 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE253	2.793 p	4.142 	3.434 	4.393 	5.966 	4.453 	5.414 	5.989 	4.69 	6.611 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE254	2.758 p	4.132 	5.26 	5.463 	5.571 	4.501 	3.748 	5.564 	6.377 	4.157 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE255	2.265 p	2.399 	3.084 	4.993 	1.078 	1.914 	1.385 	1.556 	2.424 	3.066 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE256	3.692 p	4.54 	5.718 	6.263 	6.271 	3.856 	8.269 	7.875 	8.028 	5.812 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE257	3.221 p	2.594 	4.535 	3.883 	2.797 	4.585 	3.133 	3.668 	3.862 	3.066 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE258	4.218 p	1.054 	1.861 	1.204 	1.721 	2.528 	0.519 	1.183 	1.847 	2.091 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE3	3.161 p	4.314 	4.412 	3.736 	4.717 	4.652 	5.474 	5.586 	5.759 	5.661 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE31	6.164 p	8.418 	7.686 	6.653 	8.454 	9.914 	12.72 	13.987 	11.367 	9.52 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
