unit,nstr24,geo\time	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS_T,01,DE717	7 	25 	28 	23 	5 	29 	21 	10 	27 
THS_T,01,DE718	8 	: 	: 	42 	: 	: 	1 	2 	3 
THS_T,01,DE719	11 	16 	18 	49 	13 	84 	113 	5 	40 
THS_T,01,DE71A	32 	22 	23 	38 	23 	23 	21 	8 	22 
THS_T,01,DE71B	5 	1 	: 	: 	: 	: 	: 	7 	: 
THS_T,01,DE71C	11 	: 	2 	4 	: 	5 	3 	39 	: 
THS_T,01,DE71D	: 	: 	5 	18 	: 	6 	12 	8 	: 
THS_T,01,DE71E	62 	28 	130 	83 	82 	76 	225 	48 	92 
THS_T,01,DE721	8 	241 	43 	128 	50 	24 	87 	38 	47 
THS_T,01,DE722	8 	29 	: 	1 	: 	: 	90 	4 	12 
THS_T,01,DE723	53 	20 	109 	100 	73 	123 	30 	72 	27 
THS_T,01,DE724	42 	82 	93 	75 	78 	49 	36 	161 	29 
THS_T,01,DE725	15 	48 	29 	11 	11 	34 	57 	4 	29 
THS_T,01,DE731	9 	9 	10 	19 	21 	3 	47 	52 	23 
THS_T,01,DE732	39 	16 	71 	63 	34 	23 	39 	14 	20 
THS_T,01,DE733	20 	9 	14 	4 	7 	10 	36 	22 	62 
THS_T,01,DE734	143 	233 	8 	93 	47 	86 	140 	165 	75 
THS_T,01,DE735	80 	147 	156 	80 	85 	82 	44 	106 	82 
THS_T,01,DE736	28 	74 	53 	24 	22 	27 	32 	44 	49 
THS_T,01,DE737	43 	11 	91 	45 	16 	26 	82 	46 	41 
THS_T,01,DE801	65 	11 	27 	71 	28 	44 	35 	25 	183 
THS_T,01,DE802	136 	82 	98 	73 	76 	86 	112 	87 	89 
THS_T,01,DE803	44 	597 	72 	187 	100 	157 	292 	226 	177 
THS_T,01,DE804	40 	137 	40 	52 	35 	31 	62 	92 	18 
THS_T,01,DE805	152 	81 	7 	121 	18 	33 	117 	170 	35 
THS_T,01,DE806	24 	26 	34 	54 	29 	11 	9 	40 	14 
THS_T,01,DE807	311 	266 	514 	142 	263 	671 	699 	474 	567 
THS_T,01,DE808	201 	316 	476 	477 	604 	572 	265 	456 	515 
THS_T,01,DE809	173 	333 	201 	271 	490 	299 	318 	294 	617 
THS_T,01,DE80A	446 	104 	235 	187 	241 	263 	154 	204 	226 
THS_T,01,DE80B	139 	107 	230 	191 	137 	120 	184 	94 	132 
THS_T,01,DE80C	155 	116 	196 	226 	135 	243 	94 	198 	302 
THS_T,01,DE80D	272 	477 	563 	287 	487 	415 	550 	434 	1012 
THS_T,01,DE80E	508 	510 	306 	354 	654 	369 	392 	374 	579 
THS_T,01,DE80F	117 	81 	98 	36 	25 	143 	330 	594 	296 
THS_T,01,DE80G	147 	172 	372 	336 	231 	285 	414 	167 	263 
THS_T,01,DE80H	281 	120 	137 	282 	92 	190 	179 	409 	514 
THS_T,01,DE80I	269 	212 	138 	108 	490 	634 	429 	270 	280 
THS_T,01,DE911	85 	10 	14 	31 	63 	16 	5 	128 	93 
THS_T,01,DE912	28 	181 	112 	106 	24 	79 	60 	21 	35 
THS_T,01,DE913	: 	14 	92 	27 	11 	137 	: 	: 	13 
THS_T,01,DE914	64 	118 	156 	74 	153 	55 	11 	108 	130 
THS_T,01,DE915	198 	178 	22 	127 	65 	102 	66 	102 	134 
THS_T,01,DE916	35 	57 	30 	72 	17 	91 	27 	128 	93 
THS_T,01,DE917	157 	77 	109 	238 	27 	121 	139 	159 	299 
THS_T,01,DE918	215 	197 	84 	175 	193 	246 	247 	140 	102 
THS_T,01,DE919	92 	11 	65 	21 	: 	28 	31 	54 	130 
THS_T,01,DE91A	17 	40 	156 	26 	137 	116 	43 	51 	98 
THS_T,01,DE91B	104 	85 	136 	123 	65 	119 	79 	59 	178 
THS_T,01,DE921	: 	: 	: 	: 	43 	30 	2 	5 	5 
THS_T,01,DE922	128 	146 	163 	171 	77 	17 	386 	134 	175 
