unit,iccs,geo\time	2010 	2009 	2008 
NR,ICCS0101,CH061	0 	3 	: 
NR,ICCS0101,CH062	0 	0 	: 
NR,ICCS0101,CH063	2 	0 	: 
NR,ICCS0101,CH064	0 	0 	: 
NR,ICCS0101,CH065	1 	0 	: 
NR,ICCS0101,CH066	0 	2 	: 
NR,ICCS0101,CH07	2 	2 	: 
NR,ICCS0101,CH070	2 	2 	: 
NR,ICCS0101,CY	7 	16 	9 
NR,ICCS0101,CZ	103 	112 	114 
NR,ICCS0101,CZ0	103 	112 	114 
NR,ICCS0101,CZ01	16 	22 	15 
NR,ICCS0101,CZ010	16 	22 	15 
NR,ICCS0101,CZ02	9 	15 	17 
NR,ICCS0101,CZ020	9 	15 	17 
NR,ICCS0101,CZ03	10 	8 	7 
NR,ICCS0101,CZ031	5 	5 	2 
NR,ICCS0101,CZ032	5 	3 	5 
NR,ICCS0101,CZ04	15 	10 	18 
NR,ICCS0101,CZ041	8 	2 	6 
NR,ICCS0101,CZ042	7 	8 	12 
NR,ICCS0101,CZ05	13 	9 	10 
NR,ICCS0101,CZ051	2 	4 	3 
NR,ICCS0101,CZ052	3 	3 	3 
NR,ICCS0101,CZ053	8 	2 	4 
NR,ICCS0101,CZ06	15 	15 	20 
NR,ICCS0101,CZ063	6 	1 	8 
NR,ICCS0101,CZ064	9 	14 	12 
NR,ICCS0101,CZ07	13 	17 	12 
NR,ICCS0101,CZ071	8 	9 	6 
NR,ICCS0101,CZ072	5 	8 	6 
NR,ICCS0101,CZ08	12 	16 	15 
NR,ICCS0101,CZ080	12 	16 	15 
NR,ICCS0101,DE	690 	706 	722 
NR,ICCS0101,DE1	72 	106 	77 
NR,ICCS0101,DE111	6 	5 	: 
NR,ICCS0101,DE112	3 	3 	: 
NR,ICCS0101,DE113	0 	9 	: 
NR,ICCS0101,DE114	0 	6 	: 
NR,ICCS0101,DE115	4 	1 	: 
NR,ICCS0101,DE116	2 	34 	: 
NR,ICCS0101,DE117	1 	0 	: 
NR,ICCS0101,DE118	1 	1 	: 
NR,ICCS0101,DE119	1 	0 	: 
NR,ICCS0101,DE11A	3 	1 	: 
NR,ICCS0101,DE11B	1 	0 	: 
NR,ICCS0101,DE11C	2 	0 	: 
NR,ICCS0101,DE11D	4 	0 	: 
NR,ICCS0101,DE121	2 	0 	: 
NR,ICCS0101,DE122	3 	2 	: 
NR,ICCS0101,DE123	1 	1 	: 
NR,ICCS0101,DE124	0 	1 	: 
NR,ICCS0101,DE125	1 	1 	: 
NR,ICCS0101,DE126	5 	0 	: 
NR,ICCS0101,DE127	3 	0 	: 
NR,ICCS0101,DE128	3 	5 	: 
NR,ICCS0101,DE129	1 	1 	: 
