unit,facility,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
P_HTHAB,HBEDT,FR94	344.99 	347.16 	344.06 	350.79 	350.39 	368.55 	369.46 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,FRA1	: 	: 	: 	: 	: 	: 	547.76 	550.31 	554.04 	557.00 	: 	: 
P_HTHAB,HBEDT,FRA2	647.96 	577.76 	643.83 	637.28 	598.22 	586.11 	602.24 	579.77 	585.04 	548.34 	: 	: 
P_HTHAB,HBEDT,FRA3	418.69 	425.03 	373.97 	365.20 	347.03 	375.39 	372.64 	361.97 	359.23 	342.72 	: 	: 
P_HTHAB,HBEDT,FRA4	344.99 	347.16 	344.06 	350.97 	351.39 	369.55 	370.95 	381.22 	390.93 	401.44 	: 	: 
P_HTHAB,HBEDT,FRA5	: 	: 	: 	: 	: 	: 	: 	: 	154.09 	148.15 	: 	: 
P_HTHAB,HBEDT,FRB0	722.39 	684.55 	666.96 	636.41 	626.12 	626.40 	629.99 	625.29 	628.73 	628.24 	616.76 	607.42 
P_HTHAB,HBEDT,FRC1	757.10 	754.03 	733.92 	724.05 	710.75 	712.89 	711.67 	706.08 	695.12 	695.30 	691.38 	685.77 
P_HTHAB,HBEDT,FRC2	719.54 	699.27 	650.78 	653.33 	649.52 	642.22 	621.36 	613.54 	601.07 	586.40 	582.92 	568.19 
P_HTHAB,HBEDT,FRD1	715.64 	712.04 	672.27 	673.20 	658.54 	659.42 	638.79 	639.44 	628.51 	613.02 	614.35 	611.21 
P_HTHAB,HBEDT,FRD2	597.41 	598.48 	570.75 	567.30 	560.44 	574.91 	561.26 	568.74 	570.59 	569.56 	566.11 	568.22 
P_HTHAB,HBEDT,FRE1	669.46 	672.40 	655.11 	622.76 	619.49 	627.41 	624.27 	617.52 	612.29 	606.68 	599.45 	596.45 
P_HTHAB,HBEDT,FRE2	722.57 	718.33 	690.33 	640.49 	638.98 	634.37 	631.02 	624.93 	613.17 	602.27 	594.00 	581.28 
P_HTHAB,HBEDT,FRF1	774.06 	754.59 	721.76 	659.22 	651.69 	640.33 	637.56 	631.89 	624.70 	612.03 	596.10 	591.12 
P_HTHAB,HBEDT,FRF2	728.67 	718.62 	639.15 	625.60 	615.40 	613.16 	591.87 	616.16 	606.18 	594.27 	583.62 	572.35 
P_HTHAB,HBEDT,FRF3	785.06 	755.89 	729.41 	693.17 	682.70 	669.65 	667.38 	657.87 	650.39 	639.71 	634.78 	627.61 
P_HTHAB,HBEDT,FRG0	654.19 	632.16 	603.98 	566.93 	560.98 	561.79 	559.19 	546.53 	537.78 	529.59 	516.54 	508.77 
P_HTHAB,HBEDT,FRH0	793.85 	761.23 	711.53 	673.48 	666.66 	653.78 	650.29 	639.14 	635.12 	621.83 	614.65 	602.73 
P_HTHAB,HBEDT,FRI1	730.95 	707.55 	689.42 	682.67 	674.17 	668.07 	666.04 	653.12 	645.72 	635.63 	629.26 	612.62 
P_HTHAB,HBEDT,FRI2	952.26 	949.05 	865.85 	834.45 	828.00 	837.05 	840.18 	841.65 	842.04 	826.63 	818.92 	799.02 
P_HTHAB,HBEDT,FRI3	652.03 	633.14 	600.63 	593.04 	587.46 	590.80 	584.59 	590.18 	577.75 	568.02 	559.84 	547.26 
P_HTHAB,HBEDT,FRJ1	768.21 	751.72 	747.48 	711.78 	694.93 	691.01 	692.32 	682.84 	678.01 	678.18 	674.24 	660.11 
P_HTHAB,HBEDT,FRJ2	720.97 	704.69 	686.47 	662.73 	658.52 	657.20 	645.74 	644.48 	639.26 	631.02 	628.42 	619.95 
P_HTHAB,HBEDT,FRK1	884.41 	877.87 	869.53 	770.85 	755.70 	740.99 	748.24 	742.98 	741.74 	741.19 	731.62 	730.95 
P_HTHAB,HBEDT,FRK2	713.49 	685.06 	641.40 	635.32 	626.72 	624.99 	615.56 	603.68 	596.53 	589.91 	576.26 	570.93 
P_HTHAB,HBEDT,FRL0	764.79 	751.35 	734.56 	719.98 	715.76 	713.40 	731.86 	720.90 	713.85 	703.99 	699.50 	703.36 
