"indic_sb,nace_r2,geo\time"	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
"V97120,R_S,ES114"	5.37	5.56	: 	6.85	6.43	5.54	5.54	: 	: 	: 
"V97120,R_S,ES12"	4.75	4.92	: 	5.93	5.63	3.81	4.71	: 	: 	: 
"V97120,R_S,ES120"	4.75	4.92	: 	5.93	5.63	3.81	4.71	: 	: 	: 
"V97120,R_S,ES13"	4.4	6.43	: 	6.32	5.93	3.69	4.47	: 	: 	: 
"V97120,R_S,ES130"	4.4	6.43	: 	6.32	5.93	3.69	4.47	: 	: 	: 
"V97120,R_S,ES2"	4.07	5.21	: 	4.58	4.19	3.39	4.18	: 	: 	: 
"V97120,R_S,ES21"	4.07	4.39	: 	3.59	3.08	3.04	3.67	: 	: 	: 
"V97120,R_S,ES211"	4.69	4.72	: 	3.46	3.86	3.1	4.02	: 	: 	: 
"V97120,R_S,ES212"	3.29	3.73	: 	2.94	2.34	3.46	3.61	: 	: 	: 
"V97120,R_S,ES213"	4.38	4.71	: 	4	3.33	2.77	3.62	: 	: 	: 
"V97120,R_S,ES22"	4.16	5.09	: 	5.64	4.32	4.13	4	: 	: 	: 
"V97120,R_S,ES220"	4.16	5.09	: 	5.64	4.32	4.13	4	: 	: 	: 
"V97120,R_S,ES23"	3.04	6.04	: 	5.17	6.05	2.14	4.27	: 	: 	: 
"V97120,R_S,ES230"	3.04	6.04	: 	5.17	6.05	2.14	4.27	: 	: 	: 
"V97120,R_S,ES24"	4.28	6.34	: 	5.44	5.52	3.93	5.1	: 	: 	: 
"V97120,R_S,ES241"	3.22	4.83	: 	5.56	5.81	3.23	5.01	: 	: 	: 
"V97120,R_S,ES242"	4.21	6	: 	5.91	5.57	3.57	5.71	: 	: 	: 
"V97120,R_S,ES243"	4.59	6.81	: 	5.37	5.45	4.14	5.05	: 	: 	: 
"V97120,R_S,ES3"	4.9	5.25	: 	5.43	4.56	3.41	4.5	: 	: 	: 
"V97120,R_S,ES30"	4.9	5.25	: 	5.43	4.56	3.41	4.5	: 	: 	: 
"V97120,R_S,ES300"	4.9	5.25	: 	5.43	4.56	3.41	4.5	: 	: 	: 
"V97120,R_S,ES4"	5.29	5.99	: 	6.84	5.77	3.98	5.32	: 	: 	: 
"V97120,R_S,ES41"	4.57	5.25	: 	6.18	4.91	3.04	4.65	: 	: 	: 
"V97120,R_S,ES411"	5.63	6.84	: 	7.79	4.92	3.25	7.23	: 	: 	: 
"V97120,R_S,ES412"	3.98	6.88	: 	8.27	4.93	4.08	3.79	: 	: 	: 
"V97120,R_S,ES413"	4.8	5.38	: 	7.32	5.34	2.9	5.82	: 	: 	: 
"V97120,R_S,ES414"	3.59	4.61	: 	4.11	4.03	2.17	3	: 	: 	: 
"V97120,R_S,ES415"	5.14	4.41	: 	5.16	4.65	3.24	5.06	: 	: 	: 
"V97120,R_S,ES416"	4.22	4.83	: 	5.97	4.9	2.72	4.77	: 	: 	: 
"V97120,R_S,ES417"	4.88	4.62	: 	6.71	6.34	4.89	4.19	: 	: 	: 
"V97120,R_S,ES418"	4.43	4.74	: 	5.13	4.57	2.65	3.61	: 	: 	: 
"V97120,R_S,ES419"	4.45	4.92	: 	4.96	5.77	2.56	5.74	: 	: 	: 
"V97120,R_S,ES42"	5.83	6.82	: 	7.8	6.55	4.21	6.35	: 	: 	: 
"V97120,R_S,ES421"	5.74	6.32	: 	5.48	7.06	5.95	5.7	: 	: 	: 
"V97120,R_S,ES422"	4.87	7.86	: 	9.19	6.12	3.8	5.64	: 	: 	: 
"V97120,R_S,ES423"	5.16	6.44	: 	8.33	5.53	4.13	4.97	: 	: 	: 
"V97120,R_S,ES424"	5.31	5.64	: 	7.3	4.46	2.54	6.83	: 	: 	: 
"V97120,R_S,ES425"	6.99	6.92	: 	8.63	7.97	4.21	7.53	: 	: 	: 
"V97120,R_S,ES43"	5.93	6.21	: 	6.73	6.47	6.04	5.25	: 	: 	: 
"V97120,R_S,ES431"	5.51	6.22	: 	7.07	5.9	6.32	5.16	: 	: 	: 
"V97120,R_S,ES432"	6.68	6.19	: 	6.11	7.52	5.53	5.42	: 	: 	: 
"V97120,R_S,ES5"	5.08	6.67	: 	6	5.76	4.51	5.12	: 	: 	: 
"V97120,R_S,ES51"	4.63	6.79	: 	5.44	5.4	4.2	4.87	: 	: 	: 
"V97120,R_S,ES511"	4.66	6.78	: 	5.56	5.46	4.08	4.63	: 	: 	: 
"V97120,R_S,ES512"	4.68	7.43	: 	5.17	5.4	4.56	5.8	: 	: 	: 
"V97120,R_S,ES513"	5.34	6.47	: 	5.52	4.9	4.22	5.15	: 	: 	: 
"V97120,R_S,ES514"	4.13	6.43	: 	4.96	5.23	4.72	5.71	: 	: 	: 
"V97120,R_S,ES52"	5.92	6.75	: 	6.93	6.56	4.97	5.52	: 	: 	: 
"V97120,R_S,ES521"	6.65	8.16	: 	6.66	6.98	5.68	5.72	: 	: 	: 
"V97120,R_S,ES522"	4.82	5.9	: 	7.81	6.41	3.82	5.93	: 	: 	: 
"V97120,R_S,ES523"	5.66	6	: 	6.91	6.3	4.77	5.29	: 	: 	: 
"V97120,R_S,ES53"	4.96	5.84	: 	6.18	5.27	4.84	5.33	: 	: 	: 
"V97120,R_S,ES531"	7.06	7.47	: 	5.91	4.1	3.57	7.44	: 	: 	: 
"V97120,R_S,ES532"	4.51	5.42	: 	6.15	5.27	5.09	4.96	: 	: 	: 
"V97120,R_S,ES533"	5.9	7.58	: 	7.47	8.72	5.36	5.92	: 	: 	: 
"V97120,R_S,ES6"	6.34	7.21	: 	7.32	6.4	5.5	6.13	: 	: 	: 
"V97120,R_S,ES61"	6.45	7.47	: 	7.35	6.49	5.42	6.36	: 	: 	: 
"V97120,R_S,ES611"	5.87	7.17	: 	7.83	6.37	5.3	6.31	: 	: 	: 
"V97120,R_S,ES612"	6.19	7.68	: 	7.55	7.48	6.35	6.03	: 	: 	: 
"V97120,R_S,ES613"	7.08	6.7	: 	6.9	6.73	5.21	6.01	: 	: 	: 
"V97120,R_S,ES614"	5.99	7.11	: 	7.1	5.22	5.9	8.71	: 	: 	: 
"V97120,R_S,ES615"	9.27	8.98	: 	8.15	7.38	5.4	5.29	: 	: 	: 
"V97120,R_S,ES616"	7	6.7	: 	7.6	7.85	6.27	5.62	: 	: 	: 
"V97120,R_S,ES617"	7.1	8.67	: 	8.4	7.16	5.75	6.22	: 	: 	: 
"V97120,R_S,ES618"	5.61	6.61	: 	6.15	5.38	4.31	6.18	: 	: 	: 
"V97120,R_S,ES62"	5.79	5.86	: 	7.22	5.9	5.75	5.04	: 	: 	: 
