"indic_sb,nace_r2,geo\time"	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
"V97120,R_S,PL815"	10.34	10.83	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL82"	11.68	9.58	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL821"	12.6	9.37	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL822"	10.73	10.34	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL823"	12.48	10.68	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL824"	10.43	8.13	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL84"	9.9	9.22	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL841"	9.87	9.39	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL842"	9.91	8.73	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL843"	9.96	9.4	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL9"	8.32	8.09	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL91"	7.51	7.4	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL911"	6.84	6.96	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL912"	9.89	9.78	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL913"	9.17	7.92	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL92"	11.18	10.68	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL921"	10.07	9.64	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL922"	11.79	11	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL923"	16.34	13.29	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL924"	12.12	11.58	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL925"	8.39	10.27	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL926"	8.73	8.84	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PT"	11.13	10.86	11.06	10.75	10.54	8.75	9.27	8.12	8.6	10.98
"V97120,R_S,PT1"	11.15	10.9	11.01	10.74	10.56	8.72	9.28	8.14	8.56	11
"V97120,R_S,PT11"	10.56	10.72	10.55	10.15	10.56	8.53	9.39	8.07	8.1	10.03
"V97120,R_S,PT111"	11.77	11.61	11.27	11.65	10.9	8.71	9.96	8.18	8.94	12.39
"V97120,R_S,PT112"	11.68	11.2	10.32	11.19	11.85	9.72	10.15	9	8.16	10.45
"V97120,R_S,PT119"	10.31	10.5	9.85	10.11	11.36	7.74	8.89	7.78	8.82	11.24
"V97120,R_S,PT11A"	10.55	10.81	10.74	9.94	10.35	8.56	9.41	7.99	7.89	9.72
"V97120,R_S,PT11B"	6.39	9.33	8.16	7.3	7.83	7.01	9.29	8.25	9.35	8.31
"V97120,R_S,PT11C"	10.51	10.12	10.57	9.88	9.92	8.24	9.14	7.75	8.71	10.58
"V97120,R_S,PT11D"	9.35	10.05	10.64	9.68	10.77	8.12	8.55	7.89	7.35	10.43
"V97120,R_S,PT11E"	10.42	9.57	10.33	11.71	10.86	8.78	8.96	8.22	7.13	6.44
"V97120,R_S,PT15"	10.93	10.37	10.73	10.97	9.92	8.03	8.1	8.32	9.12	12.69
"V97120,R_S,PT150"	10.93	10.37	10.73	10.97	9.92	8.03	8.1	8.32	9.12	12.69
"V97120,R_S,PT16"	10.86	10.54	11.38	10.77	10.65	9.05	8.96	8.36	8.71	10.61
"V97120,R_S,PT16B"	12.52	11.56	12.51	11.28	12.17	10.08	9.18	9.06	9.43	10.99
"V97120,R_S,PT16D"	11.16	12.26	12.45	10.73	11.71	10.04	10.82	9.73	9.2	11.07
"V97120,R_S,PT16E"	10.85	10.85	12.19	11.58	10.73	8.05	9.05	: c	8.13	10.06
"V97120,R_S,PT16F"	10.8	9.34	12.64	10.07	10.46	8.96	8.1	7.89	8.75	10.22
"V97120,R_S,PT16G"	10.05	11.43	9.37	10.86	11.14	9.28	10.01	: c	8.83	11.02
"V97120,R_S,PT16H"	11.98	7.96	9.13	7.55	6.04	7.41	6.5	6.99	6.6	8.97
"V97120,R_S,PT16I"	10	9.7	10.13	11.77	9.61	9.54	8.08	7.46	9.13	11.98
"V97120,R_S,PT16J"	8.62	7.76	8.21	9.28	8.85	8.03	7.54	7.09	8.11	9.84
"V97120,R_S,PT17"	11.98	11.33	11.27	10.99	10.63	8.63	9.28	7.88	8.51	11.46
"V97120,R_S,PT170"	11.98	11.33	11.27	10.99	10.63	8.63	9.28	7.88	8.51	11.46
"V97120,R_S,PT18"	9.98	10.74	10.88	11.76	10.39	10.02	10.9	9.55	10.21	11.62
"V97120,R_S,PT181"	13.43	14.59	13.92	14.75	15.53	14.19	12.1	11.94	11.79	: c
"V97120,R_S,PT184"	10.08	7.45	9.95	10.98	7.8	7.09	11.13	8.12	10.13	8.61
"V97120,R_S,PT185"	8.23	10.31	10.24	11.6	10.29	9.81	11.66	: c	: c	: c
"V97120,R_S,PT186"	10.19	11.66	11.08	10.9	10.5	9.21	9.3	: c	: c	9.64
"V97120,R_S,PT187"	10.7	10.85	10.48	10.8	8.34	9.71	9.92	: c	10.22	: c
"V97120,R_S,PT2"	11.67	10.56	13.55	12.61	11.5	10.56	10.44	8.89	11.08	13.81
"V97120,R_S,PT20"	11.67	10.56	13.55	12.61	11.5	10.56	10.44	8.89	11.08	13.81
"V97120,R_S,PT200"	11.67	10.56	13.55	12.61	11.5	10.56	10.44	8.89	11.08	13.81
"V97120,R_S,PT3"	9.64	9.45	11.04	9.92	9.25	8.32	8.37	6.68	8.27	8.71
"V97120,R_S,PT30"	9.64	9.45	11.04	9.92	9.25	8.32	8.37	6.68	8.27	8.71
"V97120,R_S,PT300"	9.64	9.45	11.04	9.92	9.25	8.32	8.37	6.68	8.27	8.71
"V97120,R_S,RO"	10.2	9.07	11.12	7.2	14.81	9.53	8.41	: 	: 	: 
"V97120,R_S,RO1"	12.35	9.14	10.84	8.05	17.86	11.06	9.22	: 	: 	: 
"V97120,R_S,RO11"	12.23	8.59	10.06	8.62	17.56	11.4	9.06	: 	: 	: 
"V97120,R_S,RO111"	12.82	9.09	11.76	8.22	20.6	13.89	12.71	: 	: 	: 
"V97120,R_S,RO112"	15.37	6.24	4.34	13.15	8.59	5.57	4.31	: 	: 	: 
"V97120,R_S,RO113"	11.04	8.07	9.79	8.11	16.06	11.05	8.63	: 	: 	: 
"V97120,R_S,RO114"	13.23	10.32	12.85	8.77	25.79	13.43	10.18	: 	: 	: 
"V97120,R_S,RO115"	9.58	8.01	9.71	6.05	19.01	12.11	7.2	: 	: 	: 
"V97120,R_S,RO116"	14.4	11.01	14.53	4.98	18.93	10.18	8.98	: 	: 	: 
"V97120,R_S,RO12"	12.5	9.79	11.92	7.25	18.26	10.62	9.45	: 	: 	: 
"V97120,R_S,RO121"	17.73	10.96	15.39	5.61	25.74	10.73	13.65	: 	: 	: 
"V97120,R_S,RO122"	11.46	12.37	13.91	10.61	18.03	11.34	9.09	: 	: 	: 
"V97120,R_S,RO123"	14.86	12.69	9.65	5.59	20.63	8.22	9.62	: 	: 	: 
"V97120,R_S,RO124"	12.72	8.87	9.69	5.34	16.42	8.47	7.11	: 	: 	: 
"V97120,R_S,RO125"	13.45	8.36	10.69	6.09	14.87	8.89	9.2	: 	: 	: 
"V97120,R_S,RO126"	8.99	7.28	10.45	6.59	18	14.05	9.21	: 	: 	: 
"V97120,R_S,RO2"	10.98	8.76	10.98	6.41	16.7	9.04	9.01	: 	: 	: 
"V97120,R_S,RO21"	10.81	9.26	11.44	6.34	16.67	7.56	9.15	: 	: 	: 
"V97120,R_S,RO211"	11.91	8.86	8.89	5.46	20.03	8.94	9.29	: 	: 	: 
"V97120,R_S,RO212"	13.78	11.35	11.04	6.33	19.62	7.63	9.58	: 	: 	: 
"V97120,R_S,RO213"	10.54	10.17	13.71	9.16	16.01	7.29	9.59	: 	: 	: 
"V97120,R_S,RO214"	12.19	10.05	11.31	4.71	17.87	7.77	9.26	: 	: 	: 
"V97120,R_S,RO215"	8.18	6.65	11.12	5.06	13.77	7.61	9.95	: 	: 	: 
"V97120,R_S,RO216"	9.99	8.92	9.36	3.22	13.75	5.04	5.31	: 	: 	: 
"V97120,R_S,RO22"	11.17	8.27	10.53	6.48	16.73	10.44	8.88	: 	: 	: 
"V97120,R_S,RO221"	9.43	6	10.73	5.29	16.56	8.79	10.03	: 	: 	: 
"V97120,R_S,RO222"	11.58	13.38	11.97	7.22	23.83	10.26	12.49	: 	: 	: 
"V97120,R_S,RO223"	11.01	7.58	10.17	6.62	15.21	10.54	7.35	: 	: 	: 
"V97120,R_S,RO224"	11.51	8.41	9.54	7.16	17.54	11.85	9.86	: 	: 	: 
"V97120,R_S,RO225"	8.29	7.79	12.61	4.73	16.31	10.67	10.68	: 	: 	: 
"V97120,R_S,RO226"	15.68	9.11	11.22	6.66	15.39	8.81	7.91	: 	: 	: 
"V97120,R_S,RO3"	7.68	7.97	11.3	7.15	10.7	8.32	7.25	: 	: 	: 
"V97120,R_S,RO31"	12.06	8.61	14.68	7.15	18.54	11.32	9.74	: 	: 	: 
"V97120,R_S,RO311"	10.73	8.88	11.62	8.15	18.14	14.98	9.82	: 	: 	: 
"V97120,R_S,RO312"	16.43	14.73	17.6	6.7	28.5	12.62	15.11	: 	: 	: 
"V97120,R_S,RO313"	18.11	9.72	12.83	6.05	21.68	8.81	8.91	: 	: 	: 
"V97120,R_S,RO314"	13.56	11.17	12.23	5.65	16.86	9.28	9.55	: 	: 	: 
"V97120,R_S,RO315"	11.35	11.76	12.01	9.48	17.16	10.98	13.15	: 	: 	: 
"V97120,R_S,RO316"	9.83	6.83	17.97	6.34	14.58	10	8.1	: 	: 	: 
"V97120,R_S,RO317"	13.86	6.01	13.91	7.96	26.47	9.7	12.07	: 	: 	: 
"V97120,R_S,RO32"	6.31	7.78	10.37	7.15	8.63	7.5	6.69	: 	: 	: 
"V97120,R_S,RO321"	5.72	7.67	7.01	6.78	8.09	6.31	6.31	: 	: 	: 
"V97120,R_S,RO322"	9.59	8.43	31.99	10.6	12.95	20.3	11.7	: 	: 	: 
"V97120,R_S,RO4"	12.3	12.6	11.28	6.81	19.49	11.17	9.82	: 	: 	: 
"V97120,R_S,RO41"	12.43	11.55	10.26	6.2	19.81	10.88	10.78	: 	: 	: 
"V97120,R_S,RO411"	9.68	11.11	9.54	8.24	20.32	13.31	10.92	: 	: 	: 
"V97120,R_S,RO412"	13.05	13.32	10.98	5.83	15.71	11.21	8.23	: 	: 	: 
"V97120,R_S,RO413"	18.78	14.39	8.02	5.51	13.31	10.04	12.58	: 	: 	: 
"V97120,R_S,RO414"	12.73	11.2	11.28	4.38	14.56	7.97	10.25	: 	: 	: 
"V97120,R_S,RO415"	12.94	9.13	11.59	4.16	27.66	8.59	11.48	: 	: 	: 
"V97120,R_S,RO42"	12.2	13.37	12.04	7.25	19.26	11.35	9.14	: 	: 	: 
"V97120,R_S,RO421"	14.02	11.5	15.57	6.05	17.23	8.57	10.56	: 	: 	: 
"V97120,R_S,RO422"	14.16	10.93	10.1	5.33	28.96	14.29	10.79	: 	: 	: 
"V97120,R_S,RO423"	12.53	9.49	10.91	8.36	18.41	14.82	8.25	: 	: 	: 
"V97120,R_S,RO424"	10.69	16.24	10.85	7.89	18.68	10.65	8.35	: 	: 	: 
"V97120,R_S,SK"	8.65	7.37	7.23	14.66	6.18	5.33	7.68	: 	: 	: 
"V97120,R_S,SK0"	8.65	7.37	7.23	14.66	6.18	5.33	7.68	: 	: 	: 
"V97120,R_S,SK01"	5.09	3.81	5.06	8.26	4.68	3.65	4.9	: 	: 	: 
"V97120,R_S,SK010"	5.09	3.81	5.06	8.26	4.68	3.65	4.9	: 	: 	: 
"V97120,R_S,SK02"	9.63	8.21	8.49	17.14	6.25	6.09	9.1	: 	: 	: 
"V97120,R_S,SK021"	8.78	7.14	8.65	18.35	6.66	7.03	9.12	: 	: 	: 
"V97120,R_S,SK022"	9.61	8.5	7.21	15.09	5.68	6.78	10.1	: 	: 	: 
"V97120,R_S,SK023"	10.6	9.16	9.58	17.86	6.38	4.73	8.4	: 	: 	: 
"V97120,R_S,SK03"	9.26	8.32	7.45	15.56	6.5	5.55	8.82	: 	: 	: 
"V97120,R_S,SK031"	7.84	6.27	6.33	12.78	4.95	5.77	7.96	: 	: 	: 
"V97120,R_S,SK032"	11.28	11.19	8.89	19.02	8.49	5.32	9.65	: 	: 	: 
"V97120,R_S,SK04"	12.17	10.81	8.67	20.33	8.55	6.88	9.36	: 	: 	: 
"V97120,R_S,SK041"	12.2	10.43	8.18	22.62	7.41	7.65	10.97	: 	: 	: 
"V97120,R_S,SK042"	12.14	11.21	9.2	17.85	9.7	6.23	8.03	: 	: 	: 
