"sectperf,unit,geo\time"	2018	2017		ITI4
"BES,EUR_HAB,HU32"	47 b	47.7		
"BES,EUR_HAB,HU33"	68.1 b	57		
"BES,EUR_HAB,IE"	575.1	579		
"BES,EUR_HAB,IE0"	: 	579		
"BES,EUR_HAB,IE01"	: 	329.7		
"BES,EUR_HAB,IE02"	: 	669.6		
"BES,EUR_HAB,IS"	821.4	868.4		
"BES,EUR_HAB,IS0"	821.4	868.4		
"BES,EUR_HAB,IS00"	821.4	868.4		
"BES,EUR_HAB,IT"	263.4	244.9		
"BES,EUR_HAB,ITC"	427	400.1		
"BES,EUR_HAB,ITC1"	565.8	518.5		
"BES,EUR_HAB,ITC2"	129.1	139.1		
"BES,EUR_HAB,ITC3"	239.8	261.5		
"BES,EUR_HAB,ITC4"	399.3	373.1		
"BES,EUR_HAB,ITF"	83.7	77.6		
"BES,EUR_HAB,ITF1"	110.4	119.8		
"BES,EUR_HAB,ITF2"	194.5	157.1		
"BES,EUR_HAB,ITF3"	111.3	100		
"BES,EUR_HAB,ITF4"	60.6	56.4		
"BES,EUR_HAB,ITF5"	42.5	45.5		
"BES,EUR_HAB,ITF6"	26	23.4		
"BES,EUR_HAB,ITG"	46.6	39.2		
"BES,EUR_HAB,ITG1"	53.5	45.1		
"BES,EUR_HAB,ITG2"	25.3	21		
"BES,EUR_HAB,ITH"	409.1	381.6		
"BES,EUR_HAB,ITH1"	249.2	180.9		
"BES,EUR_HAB,ITH2"	248.8	225.4		
"BES,EUR_HAB,ITH3"	335.9	313.4		
"BES,EUR_HAB,ITH4"	282.1	263.6		
"BES,EUR_HAB,ITH5"	562.7	531.7		
"BES,EUR_HAB,ITI"	233.5	215.6		
"BES,EUR_HAB,ITI1"	299.1	263.6		
"BES,EUR_HAB,ITI2"	123.8	103.3		
"BES,EUR_HAB,ITI3"	192	190.5		
"BES,EUR_HAB,ITI4"	219.2	208.5		
"BES,EUR_HAB,JP"	863.1	859.5		
"BES,EUR_HAB,KR"	1026.7	954.1		
"BES,EUR_HAB,LT"	63.5	49		
"BES,EUR_HAB,LT0"	63.5	49		
"BES,EUR_HAB,LT00"	: 	: 		
"BES,EUR_HAB,LT01"	149.2	106.2		
"BES,EUR_HAB,LT02"	29	26.4		
"BES,EUR_HAB,LU"	623.1	680.6		
"BES,EUR_HAB,LU0"	623.1	680.6		
"BES,EUR_HAB,LU00"	623.1	680.6		
"BES,EUR_HAB,LV"	23.9	19.2		
"BES,EUR_HAB,LV0"	23.9	19.2		
"BES,EUR_HAB,LV00"	23.9	19.2		
"BES,EUR_HAB,ME"	14.5	4.5		
"BES,EUR_HAB,ME0"	14.5	4.5		
"BES,EUR_HAB,ME00"	14.5	4.5		
"BES,EUR_HAB,MK"	5.8	4.5		
"BES,EUR_HAB,MK0"	5.8	4.5		
