unit,isced11,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED5,F,FRK2	: 	24308 	25894 	25116 	25023 	25529 	25696 
NR,ED5,F,FRL	: 	16749 	17468 	17491 	17480 	17914 	17633 
NR,ED5,F,FRL0	: 	16749 	17468 	17491 	17480 	17914 	17633 
NR,ED5,F,FRM	: 	561 	601 	625 	669 	679 	574 
NR,ED5,F,FRM0	: 	561 	601 	625 	669 	679 	574 
NR,ED5,F,FRY	: 	7092 	7157 	7022 	6994 	6907 d	: 
NR,ED5,F,FRY1	: 	1605 	1544 	1499 	1415 	1399 	1403 
NR,ED5,F,FRY2	: 	1430 	1551 	1594 	1600 	1650 	1605 
NR,ED5,F,FRY3	: 	632 	672 	556 	481 	533 	546 
NR,ED5,F,FRY4	: 	3153 	3139 	3140 	3314 	3325 	3200 
NR,ED5,F,FRY5	: 	272 	251 	233 	184 	: 	: 
NR,ED5,F,FRZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,FRZZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,HR	: 	11 	38 	49 	90 	: 	: d
NR,ED5,F,HR0	: 	11 	38 	49 	90 	: 	: d
NR,ED5,F,HR03	: 	10 	38 	49 	90 	: 	: d
NR,ED5,F,HR04	: 	1 	0 	0 	0 	: 	: d
NR,ED5,F,HRZ	: 	0 	0 	0 	0 	: 	: d
NR,ED5,F,HRZZ	: 	0 	0 	0 	0 	: 	: d
NR,ED5,F,HU	6556 	7540 	8426 	7492 	7323 	12968 	23476 
NR,ED5,F,HU1	2721 	2966 	3166 	2660 	3017 	5279 	9323 
NR,ED5,F,HU11	2462 	2626 	2810 	2420 	2861 	4798 	8453 
NR,ED5,F,HU12	259 	340 	356 	240 	156 	481 	870 
NR,ED5,F,HU2	1725 	1940 	2266 	2141 	2030 	3616 	6267 
NR,ED5,F,HU21	531 	642 	759 	689 	629 	1163 	2186 
NR,ED5,F,HU22	575 	611 	727 	660 	534 	1147 	2271 
NR,ED5,F,HU23	619 	687 	780 	792 	867 	1306 	1810 
NR,ED5,F,HU3	2110 	2634 	2994 	2691 	2276 	4073 	7886 
NR,ED5,F,HU31	708 	870 	903 	751 	637 	1030 	2291 
NR,ED5,F,HU32	755 	943 	1119 	1228 	986 	1637 	3020 
NR,ED5,F,HU33	647 	821 	972 	712 	653 	1406 	2575 
NR,ED5,F,HUZ	0 	0 	0 	0 	0 	0 	0 
