"nace_r2,unit,sex,geo\time"	2019	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
"HTC,PC_EMP,T,ITH3"	2.6	2.7 b	2.4	2.9	2.9	2.6	2.7	2.7	2.7	2.8	2.9	2.7
"HTC,PC_EMP,T,ITH4"	4	2.6 b	2.4	2.4	2.2	2.9	2.6	2.6	2.4	3	3	3
"HTC,PC_EMP,T,ITH5"	3.5	2.7 b	3	3.1	3.1	3.3	2.7	3	3.1	3.3	3.1	3.3
"HTC,PC_EMP,T,ITI1"	3.5	2.6 b	2.3	2.4	2.5	2.6	2.8	3.1	2.8	2.9	3.2	3.5
"HTC,PC_EMP,T,ITI2"	2.9	2.4 b	1.9	2	2	2.7	2.8	2.1	2.2	2.3	2.3	2.7
"HTC,PC_EMP,T,ITI3"	2.2	2.2 b	2.3	2.2	2.8	2.6	2.8	2.7	2.7	2.8	2.4	2.7
"HTC,PC_EMP,T,ITI4"	7	7.2 b	7.3	6.8	6.9	6.3	6.4	6.8	6.8	6.5	6.1	6.6
"HTC,PC_EMP,T,LT00"	: 	1.9 b	2	1.9	2.2	2.4	: 	: 	: 	: 	: 	: 
"HTC,PC_EMP,T,LT01"	6.5	: 	: 	: 	: 	: 	5.1	4.4	5.1	4.9	4.7	5.9
"HTC,PC_EMP,T,LT02"	1.7	: 	: 	: 	: 	: 	1	1.1	1.1	1.4	1.4	1.5
"HTC,PC_EMP,T,LU00"	4.3	3.6 b	3.5 b	4.1	3.8	4.2	4	4.3	3.9 b	3.6	3.8	4.2
"HTC,PC_EMP,T,LV00"	3.3	2.4 b	2.5	3.2	3	2.5	3.1	3.4	3.3	3.1	3.6	3.5
"HTC,PC_EMP,T,ME00"	2.3	: 	: 	: 	2.5	2.6	2.2	2.5	2.4	1.9	2.1	2.3
"HTC,PC_EMP,T,MK00"	2.5	: 	: 	: 	1.9	2	1.9	2.1	2.1	2.1	2.2	2.1
"HTC,PC_EMP,T,MT00"	5.7	6.4 b	5.8	5.1	5.7	6	6.1	6.2	5.9	6.1	5.7	5.4
"HTC,PC_EMP,T,NL11"	4	3.6 b	3.2	3.8	3.7	3.4	3.3 b	2.9	3.4	4	3.8	4.1
