indic_env,wst_oper,geo\time	2018 	2016 	2014 	2012 	2010 	2008 	2006 	2004 
CAP,DSP_I,EL54	3651 	3347 	3347 	: 	: 	: 	: 	: 
CAP,DSP_I,EL6	8960 	8686 	8686 	: 	: 	: 	: 	: 
CAP,DSP_I,EL61	2213 	1979 	1979 	: 	: 	: 	: 	: 
CAP,DSP_I,EL62	55 	55 	55 	: 	: 	: 	: 	: 
CAP,DSP_I,EL63	669 	425 	425 	: 	: 	: 	: 	: 
CAP,DSP_I,EL64	516 	725 	725 	: 	: 	: 	: 	: 
CAP,DSP_I,EL65	5507 	5502 	5502 	: 	: 	: 	: 	: 
CAP,DSP_I,ES	239023 e	239232 e	226359 	217466 	152446 	102732 	1348121 	769517 
CAP,DSP_I,ES1	: c	: c	: c	: c	2797 	3940 	19000 	: 
CAP,DSP_I,ES11	0 	0 	0 	0 	0 	: 	0 	0 
CAP,DSP_I,ES12	: c	: c	: c	: c	: c	: c	1000 	1000 
CAP,DSP_I,ES13	0 	0 	: c	: c	: c	: c	18000 	18000 
CAP,DSP_I,ES2	: c	: c	4400 	7184 	: c	1404 	882 	: 
CAP,DSP_I,ES21	0 	0 	0 	2784 	: c	: 	882 e	882 
CAP,DSP_I,ES22	: c	0 	0 	0 	0 	: c	0 	0 
CAP,DSP_I,ES23	0 	: c	: c	: c	: c	: c	0 	0 
CAP,DSP_I,ES24	1145 e	1145 	0 	0 	0 	: 	0 	0 
CAP,DSP_I,ES3	0 	5694 	0 	0 	0 	: 	0 	: 
CAP,DSP_I,ES30	0 	5694 	0 	0 	0 	: 	0 	0 
CAP,DSP_I,ES4	492 	492 	190 	13150 	: c	: c	38966 	: 
CAP,DSP_I,ES41	0 	0 	0 	0 	0 	: 	0 e	0 
CAP,DSP_I,ES42	492 	492 	: c	: c	0 	: 	26006 	0 
CAP,DSP_I,ES43	0 	0 	: c	: c	: c	: c	12960 	0 
CAP,DSP_I,ES5	: c	: c	211160 	193449 	84440 	84428 	763177 	: 
CAP,DSP_I,ES51	164967 	160477 	153478 	135767 	27174 	26897 	759980 	747454 
CAP,DSP_I,ES52	: c	: c	57682 	57682 	57266 	: c	3011 	2181 
CAP,DSP_I,ES53	0 	0 	0 	0 	0 	: c	186 	0 
CAP,DSP_I,ES6	: c	: c	1370 	886 	: c	: 	526096 	: 
CAP,DSP_I,ES61	2065 	3235 	1370 	886 	169 	: 	526096 e	0 
CAP,DSP_I,ES62	6803 e	0 	0 	0 	0 	: 	0 	0 
CAP,DSP_I,ES63	0 	0 	0 	0 	0 	: 	0 	0 
CAP,DSP_I,ES64	: c	: c	0 	0 	: c	: 	0 	0 
CAP,DSP_I,ES7	: c	: c	0 	0 	0 	: 	0 	: 
CAP,DSP_I,ES70	: c	: c	0 	0 	0 	: 	0 	0 
CAP,DSP_I,EU27_2020	20360000 	22710000 s	24400000 	29530000 	27910000 	33650000 	37060000 	: 
CAP,DSP_I,EU28	32620000 	31190000 s	34260000 	37920000 	35800000 	42770000 	46210000 	32240000 
CAP,DSP_I,FI	97603 e	: 	604665 e	604665 e	479000 	: 	67000 	355000 
CAP,DSP_I,FI1	97603 e	: 	604665 e	604665 e	479000 	: 	67000 	355000 
CAP,DSP_I,FI13	: 	: 	: 	: 	: 	: 	17000 	30000 
CAP,DSP_I,FI18	: 	: 	: 	: 	: 	: 	50000 	305000 
CAP,DSP_I,FI19	4421 e	: 	: c	: c	: 	: 	0 	0 
CAP,DSP_I,FI1A	: 	: 	: 	: 	: 	: 	0 	20000 
CAP,DSP_I,FI1B	: c	: 	: c	: c	: 	: 	: 	: 
CAP,DSP_I,FI1C	: c	: 	: c	: c	476384 	: 	: 	: 
CAP,DSP_I,FI1D	27765 e	: 	39946 e	39946 e	: 	: 	: 	: 
CAP,DSP_I,FI2	0 	: 	0 e	0 e	0 	0 	0 	0 
CAP,DSP_I,FI20	0 	: 	0 e	0 e	0 	0 	0 	0 
CAP,DSP_I,FR	2698000 	4495380 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR1	366000 	651000 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR10	366000 	651000 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR2	: 	: 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR21	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR22	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR23	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR24	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR25	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR26	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR3	: 	: 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR4	: 	: 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR41	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR42	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR43	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR5	: 	: 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR51	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR52	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR53	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR6	: 	: 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR61	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR62	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR63	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR7	: 	: 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR71	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR72	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR8	: 	: 	0 	0 	: 	: 	0 	: 
CAP,DSP_I,FR81	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR82	: 	: 	0 	0 	: 	: 	: 	: 
CAP,DSP_I,FR83	: 	: 	0 	0 	0 	0 	: 	: 
CAP,DSP_I,FR9	: 	: 	: 	0 	: 	: 	0 	: 
CAP,DSP_I,FR91	: 	: 	: 	0 	: 	: 	: 	: 
CAP,DSP_I,FR92	: 	: 	: 	0 	: 	: 	: 	: 
CAP,DSP_I,FR93	: 	: 	: 	0 	0 	: 	: 	: 
CAP,DSP_I,FR94	: 	: 	: 	0 	0 	: 	: 	: 
CAP,DSP_I,FRA	: 	: 	0 	: 	: 	: 	: 	: 
CAP,DSP_I,FRA1	: 	: 	0 	: 	: 	: 	: 	: 
CAP,DSP_I,FRA2	: 	: 	0 	: 	: 	: 	: 	: 
CAP,DSP_I,FRA3	: 	: 	0 	: 	: 	: 	: 	: 
CAP,DSP_I,FRA4	: 	: 	0 	: 	: 	: 	: 	: 
CAP,DSP_I,FRA5	: 	: 	0 	: 	: 	: 	: 	: 
CAP,DSP_I,FRB	121200 	238200 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRB0	121200 	238200 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRC	247500 	250000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRC1	24000 	24000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRC2	223500 	226000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRD	100000 	230000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRD1	0 	130000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRD2	100000 	100000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRE	0 	252000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRE1	0 	252000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRE2	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRF	504000 	570000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRF1	270000 	440000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRF2	104000 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRF3	130000 	130000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRG	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRG0	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRH	106300 	191800 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRH0	106300 	191800 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRI	175000 	304000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRI1	35000 	120000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRI2	110000 	150000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRI3	30000 	34000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRJ	407000 	409280 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRJ1	42000 	44280 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRJ2	365000 	365000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRK	181000 	549100 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRK1	0 	74100 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRK2	181000 	475000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRL	375000 	735000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRL0	375000 	735000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRM	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRM0	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRY	115000 	115000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRY1	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRY2	115000 	115000 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRY3	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRY4	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,FRY5	0 	0 	: 	: 	: 	: 	: 	: 
CAP,DSP_I,HR	0 	0 	1010 	1510 	: c	: 	3 	595 
CAP,DSP_I,HR0	0 	0 	1010 	1510 	: c	: 	: 	: 
CAP,DSP_I,HR01	: 	: 	: 	0 	: c	: 	: 	: 
CAP,DSP_I,HR02	: 	: 	: 	1510 	: c	: 	: 	: 
CAP,DSP_I,HR03	0 	0 	0 	0 	: c	: 	: 	: 
